year,oil_price_real
1951,16.5144536262
1952,16.166645320500002
1953,18.1011736485
1954,18.0139390767
1955,18.0866345532
1956,17.824930837799997
1957,16.932396117
1958,18.0559994992
1959,17.899308731199998
1960,16.092694309000002
1961,15.096552839999998
1962,14.933835504
1963,14.757558390000002
1964,14.554161720000002
1965,14.310085716
1966,13.921372080000001
1967,13.528138517999999
1968,12.985747398000001
1969,12.321318276
1970,11.634289523999998
1971,13.870748908800001
1972,14.8898415576
1973,18.5964570953
1974,58.99964872739999
1975,53.82295236889999
1976,56.472959872000004
1977,57.6393016656
1978,53.99570766871165
1979,109.33184944903581
1980,112.23629623786407
1981,99.25494510451044
1982,85.79272321243523
1983,74.50011897590362
1984,69.55591395572667
1985,64.31699739776951
1986,33.06089425182482
1987,40.74971330195733
1988,31.677777831538826
1989,36.908908288022936
1990,45.58316420207298
1991,36.874960436557664
1992,34.58016614439322
1993,29.49270698558016
1994,26.8010575389762
1995,28.03810620924582
1996,33.078407327285895
1997,29.870918265270202
1998,19.58890556384423
1999,27.08530811164937
2000,41.552884825625185
2001,34.65856662924293
2002,34.92781933115298
2003,39.345605269616165
2004,50.866116225516144
2005,70.1004977962667
2006,81.1415183640253
2007,87.6687034834556
2008,113.42923950204943
2009,72.18375522959538
2010,91.54476352359578
2011,124.19837977827005
2012,122.13317401924142
2013,117.12425222607595
2014,104.95250070557736
2015,55.50100568910674
2016,45.75681632729387
2017,55.51607845404197
2018,71.3100597609562
2019,64.35833333333333
2020,50.44
