gwcode,country,cell_n,missing_cell,missing_cell_years,inet_n,missing_inet,missing_inet_years
54,Dominica,39,39,1981 - 2019,29,29,1991 - 2019
55,Grenada,39,39,1981 - 2019,29,29,1991 - 2019
56,Saint Lucia,39,39,1981 - 2019,29,29,1991 - 2019
57,Saint Vincent,39,39,1981 - 2019,29,29,1991 - 2019
58,Antigua & Barbuda,39,39,1981 - 2019,29,29,1991 - 2019
60,Saint Kitts and Nevis,37,37,1983 - 2019,29,29,1991 - 2019
221,Monaco,39,39,1981 - 2019,29,29,1991 - 2019
223,Liechtenstein,39,39,1981 - 2019,29,29,1991 - 2019
331,San Marino,39,39,1981 - 2019,29,29,1991 - 2019
396,Abkhazia,12,12,2008 - 2019,12,12,2008 - 2019
397,South Ossetia,12,12,2008 - 2019,12,12,2008 - 2019
403,Sao Tome and Principe,39,39,1981 - 2019,29,29,1991 - 2019
591,Seychelles,39,39,1981 - 2019,29,29,1991 - 2019
713,Taiwan,39,39,1981 - 2019,29,29,1991 - 2019
935,Vanuatu,39,39,1981 - 2019,29,29,1991 - 2019
970,Kiribati,39,39,1981 - 2019,29,29,1991 - 2019
971,Nauru,39,39,1981 - 2019,29,29,1991 - 2019
972,Tonga,39,39,1981 - 2019,29,29,1991 - 2019
973,Tuvalu,39,39,1981 - 2019,29,29,1991 - 2019
983,Marshall Islands,34,34,1986 - 2019,29,29,1991 - 2019
986,Palau,26,26,1994 - 2019,26,26,1994 - 2019
987,Micronesia,34,34,1986 - 2019,29,29,1991 - 2019
990,Samoa/Western Samoa,39,39,1981 - 2019,29,29,1991 - 2019
