iso2c,country,n
AG,Antigua and Barbuda,59
AS,American Samoa,59
AW,Aruba,59
BM,Bermuda,59
CW,Curacao,59
DM,Dominica,59
FM,"Micronesia, Fed. Sts.",59
FO,Faroe Islands,59
GD,Grenada,59
GI,Gibraltar,59
GL,Greenland,59
GU,Guam,59
HK,"Hong Kong SAR, China",59
IM,Isle of Man,59
JG,Channel Islands,59
KI,Kiribati,59
KN,St. Kitts and Nevis,59
KY,Cayman Islands,59
LC,St. Lucia,59
LI,Liechtenstein,59
MC,Monaco,59
MF,St. Martin (French part),59
MH,Marshall Islands,59
MO,"Macao SAR, China",59
MP,Northern Mariana Islands,59
NC,New Caledonia,59
NR,Nauru,59
PF,French Polynesia,59
PR,Puerto Rico,59
PS,West Bank and Gaza,59
PW,Palau,59
SC,Seychelles,59
SM,San Marino,59
ST,Sao Tome and Principe,59
SX,Sint Maarten (Dutch part),59
TC,Turks and Caicos Islands,59
TO,Tonga,59
TV,Tuvalu,59
VC,St. Vincent and the Grenadines,59
VG,British Virgin Islands,59
VI,Virgin Islands (U.S.),59
VU,Vanuatu,59
WS,Samoa,59
