gwcode,country,n
54,Dominica,42
55,Grenada,46
56,Saint Lucia,41
57,Saint Vincent,41
58,Antigua & Barbuda,39
60,Saint Kitts and Nevis,37
221,Monaco,60
223,Liechtenstein,60
265,German Democratic Republic,31
315,Czechoslovakia,33
331,San Marino,60
347,Kosovo,12
396,Abkhazia,12
397,South Ossetia,12
403,Sao Tome and Principe,45
511,Zanzibar,2
591,Seychelles,44
680,South Yemen,24
713,Taiwan,60
817,South Vietnam,16
935,Vanuatu,40
970,Kiribati,41
971,Nauru,52
972,Tonga,50
973,Tuvalu,42
983,Marshall Islands,34
986,Palau,26
987,Micronesia,34
990,Samoa/Western Samoa,58
