gwcode,country,years
31,Bahamas,2010 - 2019
54,Dominica,2010 - 2019
55,Grenada,2010 - 2019
56,Saint Lucia,2010 - 2019
57,Saint Vincent,2010 - 2019
58,Antigua & Barbuda,2010 - 2019
60,Saint Kitts and Nevis,2010 - 2019
80,Belize,2010 - 2019
221,Monaco,2010 - 2019
223,Liechtenstein,2010 - 2019
232,Andorra,2010 - 2019
331,San Marino,2010 - 2019
340,Serbia,2010 - 2019
347,Kosovo,2010 - 2012
347,Kosovo,2016
396,Abkhazia,2010 - 2019
397,South Ossetia,2010 - 2019
403,Sao Tome and Principe,2010 - 2019
520,Somalia,2010 - 2011
591,Seychelles,2010 - 2019
626,South Sudan,2011 - 2012
713,Taiwan,2010 - 2019
830,Singapore,2019
835,Brunei,2010 - 2019
935,Vanuatu,2010 - 2019
970,Kiribati,2010 - 2019
971,Nauru,2010 - 2019
972,Tonga,2010 - 2019
973,Tuvalu,2010 - 2019
983,Marshall Islands,2010 - 2019
986,Palau,2010 - 2019
987,Micronesia,2010 - 2019
990,Samoa/Western Samoa,2010 - 2019
